order_id,order_date,customer_id,status,quantity,unit_price,currency,country,customer_email,postal_code,total_amount
153,2025-08-28,C4199,open,8.0,9999.0,EUR,DE,c41997723@mail.org,57851,74929.03
154,2025-08-27,C5433,open,1.0,111.6,GBP,GB,c54333788@mail.org,SW1A 1AA,114.85
155,2025-06-27,C4233,pending,14.0,27.0,USD,US,c4233872@shop.net,XXXXX,448.02
156,2025-07-25,C7667,open,8.0,90.75,GBP,GB,,B33 8TH,759.76
157,2025-08-19,C2533,open,11.0,103.08,USD,US,c25339784@mail.org,37292,1237.03
158,2025-07-16,C6527,pending,2.0,13.02,USD,US,c65275507@example.com,XXXXX,28.04
159,2025-10-15,C8277,pending,12.0,94.73,JPY,US,,41077,1234.17
160,2025-07-16,C7648,open,14.0,21.21,GBP,GB,c76484569@corp.com,M1 1AE,285.52
161,2025-11-24,C8312,closed,6.0,108.72,BTC,US,,XXXXX,644.99
162,2025-10-28,C6686,open,3.0,35.03,GBP,GB,,EC1A 1BB,124.64
163,2025-07-14,C9832,open,5.0,100.5,USD,US,c98321332@shop.net,86905,553.96
164,2025-11-20,C9536,closed,11.0,15.68,USD,US,,68124,205.05
165,2025-08-06,C2355,closed,8.0,72.05,GBP,GB,c23553600@corp.com,W1A 0AX,688.2
166,2025-08-07,C4991,closed,11.0,14.51,GBP,GB,c49916363@corp.com,SW1A 1AA,168.53
167,2025-07-16,C7657,closed,13.0,108.34,EUR,DE,,98744,1296.57
168,2025-11-25,C5587,pending,6.0,63.91,USD,US,c55871411@shop.net,95258,428.94
169,2025-08-09,C4088,open,4.0,35.9,AUD,DE,c4088275@mail.org,XXXXX,170.87
1143,2025-10-14,C3120,closed,3.0,102.09,GBP,GB,,W1A 0AX,325.42
171,2025-06-11,C2572,open,8.0,29.09,EUR,DE,,XXXXX,263.7
172,2025-09-21,C5110,open,7.0,69.66,USD,US,c51108574@corp.com,67757,490.31
173,2025-07-23,C8816,closed,5.0,10.44,USD,US,c88165393@corp.com,68174,53.94
174,2025-07-22,C2419,open,11.0,53.48,USD,US,c2419711@example.com,78356,687.08
175,2025-10-07,C7792,closed,4.0,80.63,EUR,DE,c7792241@example.com,XXXXX,302.65
176,2025-06-20,C1641,,1.0,40.85,USD,US,c16411904@shop.net,XXXXX,47.34
177,2025-08-27,C5183,open,10.0,85.04,EUR,DE,c5183964@shop.net,15346,874.02
754,2025-06-15,C5669,closed,12.0,28.52,USD,US,,62819,-323.94
179,2025-06-22,C9113,closed,9.0,64.14,USD,US,c91132756@example.com,59441,684.07
180,2025-09-18,C4637,,2.0,113.33,USD,US,,84043,220.45
181,2025-08-08,C6193,closed,8.0,5.79,USD,US,c61935892@example.com,XXXXX,-46.62
182,2025-06-09,C8192,closed,12.0,48.59,USD,US,c81924497@shop.net,15252,611.41
183,2025-07-05,C8991,closed,8.0,61.49,EUR,FR,c8991650@mail.org,65044,-461.56
184,2025-07-21,C7829,open,5.0,10.72,EUR,FR,,58123,63.98
185,2025-11-17,C8318,closed,5.0,79.62,USD,US,,36633,448.62
186,2025-11-21,C8965,open,14.0,5.23,BTC,DE,,XXXXX,70.15
187,2025-06-14,C3360,pending,4.0,75.48,USD,US,c33605264@mail.org,30169,349.45
188,2025-07-14,C2059,,1.0,79.26,EUR,FR,c2059235@shop.net,56459,90.96
189,2025-06-11,C4367,,12.0,110.62,GBP,GB,,M1 1AE,1435.64
190,2025-09-11,C3018,open,7.0,106.06,EUR,DE,,32308,867.43
191,2025-09-20,C8646,open,14.0,37.94,USD,US,,XXXXX,572.23
192,2025-11-05,C5117,closed,8.0,85.93,BTC,GB,,W1A 0AX,757.34
193,2025-07-22,C2339,open,1.0,93.68,USD,US,c2339336@shop.net,XXXXX,111.52
194,2025-07-03,C9540,open,12.0,16.78,AUD,US,c95407430@corp.com,45616,215.69
195,2025-06-16,C6735,closed,2.0,58.8,EUR,FR,,94867,112.52
196,2025-06-24,C7896,open,1.0,94.09,USD,US,c78964051@example.com,88965,85.08
197,2025-11-20,C9442,closed,13.0,46.12,GBP,GB,,EC1A 1BB,613.82
198,2025-08-26,C9917,pending,6.0,75.16,AUD,GB,,SW1A 1AA,434.81
199,2025-11-08,C5285,closed,10.0,64.48,BTC,US,c52852412@mail.org,77896,592.24
200,2025-09-12,C3607,open,8.0,23.07,EUR,FR,c36079840@shop.net,58255,215.84
201,2025-09-20,C5574,closed,10.0,95.64,USD,US,c55749644@corp.com,75039,911.7
202,2025-07-01,C5642,pending,3.0,116.21,USD,US,c56426103@shop.net,26433,349.21
203,2025-09-14,C6708,closed,12.0,111.14,GBP,GB,,SW1A 1AA,1365.44
770,2025-12-02,C7616,open,11.0,24.95,GBP,GB,c76165316@shop.net,XXXXX,285.74
205,2025-09-28,C8458,,4.0,66.7,EUR,DE,c84582717@shop.net,21718,248.76
206,2025-06-13,C2224,closed,11.0,111.71,EUR,DE,,45821,1320.6
207,2025-07-16,C4710,,6.0,99.35,BTC,DE,,20694,536.5
208,2025-09-21,C3035,open,8.0,51.4,AUD,GB,c30352214@mail.org,XXXXX,432.76
209,2025-11-24,C8799,open,7.0,67.21,GBP,GB,c87995878@shop.net,W1A 0AX,444.85
210,2025-08-11,C9578,closed,4.0,67.42,USD,US,,25849,248.14
211,2025-09-19,C7944,open,8.0,38.37,EUR,DE,,23326,303.61
212,2025-08-29,C5402,open,6.0,84.59,GBP,GB,,SW1A 1AA,608.07
213,2025-10-30,C3432,open,8.0,38.6,EUR,FR,,95436,321.19
214,2025-07-11,C2897,closed,12.0,78.2,EUR,DE,c28977854@example.com,20952,1019.38
215,2025-07-24,C5248,closed,1.0,69.58,JPY,FR,c52488481@mail.org,22060,64.19
216,2025-11-29,C5469,pending,8.0,56.22,BTC,DE,c54699838@mail.org,29871,-481.3
217,2025-08-10,C1906,open,6.0,41.76,GBP,GB,,SW1A 1AA,228.76
218,2025-07-26,C3959,pending,13.0,102.72,USD,US,c3959151@shop.net,79503,1433.24
219,2025-06-14,C6338,open,13.0,75.88,EUR,DE,,62353,1054.34
220,2025-11-04,C8117,closed,3.0,22.16,USD,US,,23657,71.44
221,2025-09-04,C2574,open,5.0,70.52,EUR,FR,c25743335@mail.org,51230,360.59
222,2025-07-11,C1787,closed,6.0,45.86,USD,US,c17875632@mail.org,72283,275.11
223,2025-10-24,C5401,closed,7.0,109.41,USD,US,,XXXXX,700.38
224,2025-10-24,C4127,open,7.0,26.04,USD,US,c41278926@mail.org,25976,191.12
225,2025-09-30,C9654,pending,12.0,42.27,USD,US,,XXXXX,497.68
226,2025-09-08,C1289,pending,1.0,68.62,USD,US,c12896584@mail.org,73400,63.98
1220,2025-09-18,C2386,closed,2.0,9.77,GBP,GB,c23866791@corp.com,SW1A 1AA,20.8
228,2025-10-13,C9663,closed,2.0,38.93,EUR,FR,,XXXXX,70.69
229,2025-08-28,C1468,closed,6.0,100.97,GBP,GB,c14687799@example.com,XXXXX,606.38
230,2025-06-27,C9646,pending,14.0,47.14,EUR,DE,c96464585@example.com,18413,782.44
231,2025-08-09,C4250,open,3.0,99.77,GBP,GB,c42502825@corp.com,SW1A 1AA,345.71
232,2025-11-17,C9121,open,1.0,94.02,USD,US,,10275,87.77
233,2025-07-31,C4752,closed,1.0,46.83,EUR,DE,c47523055@example.com,85132,50.27
234,2025-08-05,C8283,open,3.0,39.58,GBP,GB,c8283596@example.com,EC1A 1BB,136.75
235,2025-09-24,C8868,closed,6.0,60.48,USD,US,,36917,353.86
236,2025-11-19,C1467,closed,8.0,110.41,GBP,GB,,SW1A 1AA,835.42
237,2025-07-22,C7367,open,11.0,43.31,USD,US,,91772,462.87
67,2025-09-21,C8456,open,8.0,21.13,EUR,DE,,71160,172.3
239,2025-08-14,C7407,,1.0,26.47,USD,US,,69591,26.62
240,2025-08-20,C8353,closed,13.0,28.58,GBP,GB,c83537226@corp.com,M1 1AE,400.9
241,2025-11-30,C8263,pending,7.0,41.19,GBP,GB,c8263834@mail.org,B33 8TH,271.01
242,2025-06-25,C8567,closed,7.0,80.88,GBP,GB,,EC1A 1BB,-659.79
243,2025-06-08,C3911,closed,4.0,36.31,EUR,FR,c39116286@shop.net,75141,170.02
244,2025-11-01,C5288,closed,8.0,89.8,JPY,US,c52882723@mail.org,98600,717.89
245,2025-11-02,C6234,open,5.0,105.14,JPY,US,c62347536@example.com,XXXXX,529.92
246,2025-07-10,C3059,closed,1.0,33.46,EUR,DE,c30594789@corp.com,23702,39.2
247,2025-11-21,C3628,open,1.0,114.32,USD,US,c36289561@corp.com,93623,130.42
248,2025-06-28,C9354,open,8.0,105.9,EUR,FR,,25655,960.18
249,2025-08-18,C6200,open,9.0,23.43,JPY,DE,,44616,223.57
427,2025-08-11,C9852,closed,10.0,10.3,USD,US,,61341,116.44
251,2025-08-10,C7329,open,2.0,97.0,USD,US,c73293795@example.com,28739,225.07
252,2025-08-01,C2916,open,5.0,64.05,EUR,DE,,75996,376.97
253,2025-09-30,C6395,,10.0,9.83,BTC,US,c63953178@corp.com,XXXXX,109.99
254,2025-09-05,C9918,pending,9.0,40.4,EUR,DE,,72988,411.41
255,2025-09-29,C3861,open,11.0,53.52,GBP,GB,,EC1A 1BB,613.21
256,2025-07-02,C8480,pending,8.0,107.51,USD,US,c84809969@example.com,91857,908.97
257,2025-09-30,C7806,open,2.0,56.0,GBP,GB,c78069363@example.com,M1 1AE,123.61
258,2025-11-30,C8908,closed,4.0,66.49,EUR,FR,c89086236@corp.com,55041,318.9
259,2025-07-29,C2776,pending,2.0,31.38,EUR,DE,c27765053@shop.net,31940,62.63
260,2025-06-12,C5724,closed,9.0,34.75,EUR,FR,,XXXXX,364.77
261,2025-08-06,C1274,open,14.0,67.18,EUR,DE,c12741555@example.com,98874,922.4
262,2025-10-29,C9465,pending,13.0,113.71,BTC,GB,c94659432@corp.com,M1 1AE,1354.52
263,2025-08-07,C2912,closed,4.0,67.04,USD,US,c29128781@example.com,22013,275.36
264,2025-09-18,C3009,closed,3.0,108.32,USD,US,c30095123@corp.com,91802,342.06
265,2025-09-18,C4257,pending,12.0,6.92,GBP,GB,c4257153@shop.net,SW1A 1AA,76.96
266,2025-06-09,C4822,closed,7.0,31.79,EUR,DE,,37717,240.7
267,2025-11-10,C8020,open,9.0,8.47,EUR,FR,,95486,88.15
268,2025-09-24,C6265,closed,5.0,85.57,GBP,GB,,XXXXX,507.45
269,2025-07-29,C5870,closed,11.0,47.85,EUR,FR,c5870793@shop.net,40381,586.98
270,2025-08-19,C9819,open,9.0,105.84,GBP,GB,c98193719@corp.com,SW1A 1AA,1069.04
271,2025-08-13,C7256,closed,4.0,42.48,EUR,DE,,79860,158.26
272,2025-07-31,C8912,closed,1.0,27.09,BTC,US,,68102,31.3
273,2025-06-30,C7705,closed,14.0,109.35,EUR,FR,,46342,1505.94
274,2025-09-05,C3174,open,7.0,9999.0,GBP,GB,c31742097@corp.com,SW1A 1AA,64758.71
275,2025-08-15,C6455,open,12.0,48.56,EUR,FR,,12050,653.38
276,2025-11-06,C8577,open,2.0,109.4,GBP,GB,c85774084@corp.com,B33 8TH,231.57
277,2025-07-29,C7876,pending,13.0,20.33,EUR,DE,c78762688@mail.org,56806,295.07
278,2025-08-15,C7849,open,13.0,112.55,GBP,GB,c78492374@mail.org,B33 8TH,1408.61
279,2025-09-30,C1052,closed,14.0,57.48,USD,US,c10527449@shop.net,42314,813.58
280,2025-08-09,C5621,open,10.0,44.45,EUR,FR,c56214926@shop.net,XXXXX,453.59
281,2025-10-31,C9845,,9.0,32.16,EUR,FR,,XXXXX,278.96
282,2025-09-12,C3262,pending,11.0,48.36,GBP,GB,c32628131@mail.org,XXXXX,632.99
283,2025-07-28,C2586,open,4.0,22.36,GBP,GB,,EC1A 1BB,104.97
284,2025-09-28,C6117,closed,3.0,113.8,GBP,GB,c61178763@example.com,EC1A 1BB,407.99
285,2025-09-30,C5287,open,10.0,26.62,EUR,DE,c52878731@example.com,62722,277.39
286,2025-11-13,C5237,closed,1.0,27.93,EUR,DE,c52379016@mail.org,38905,32.44
287,2025-08-01,C4380,open,9.0,69.19,GBP,GB,,SW1A 1AA,676.55
288,2025-07-29,C2660,open,2.0,114.23,EUR,FR,,15540,253.29
289,2025-08-06,C1131,,9.0,59.2,JPY,US,c11312998@example.com,XXXXX,532.5
290,2025-08-30,C3491,open,2.0,5.28,EUR,DE,c34913752@mail.org,55448,11.01
291,2025-07-30,C3300,open,7.0,33.65,GBP,GB,c33002686@mail.org,B33 8TH,216.48
292,2025-09-22,C2368,open,5.0,60.03,USD,US,c23688562@corp.com,40537,-324.12
293,2025-08-18,C9726,open,4.0,85.25,EUR,DE,c97262304@corp.com,XXXXX,336.98
294,2025-07-17,C9736,open,5.0,70.4,USD,US,c97361160@corp.com,89960,330.3
295,2025-07-22,C1849,open,4.0,7.02,GBP,GB,,W1A 0AX,29.87
296,2025-06-08,C9080,open,14.0,26.59,EUR,DE,c90801227@corp.com,51824,423.23
297,2025-08-11,C8035,closed,14.0,66.63,EUR,DE,c80351982@shop.net,17138,871.06
298,2025-08-03,C3072,open,1.0,106.8,USD,US,c30726984@mail.org,44010,103.25
299,2025-07-10,C2819,closed,1.0,118.71,GBP,GB,c28196310@example.com,W1A 0AX,125.38
300,2025-07-18,C5926,open,8.0,9999.0,USD,US,,95533,79548.46
301,2025-10-29,C1184,open,12.0,30.63,USD,US,c11849963@mail.org,45292,438.03
302,2025-11-27,C4937,pending,10.0,21.38,USD,US,c49374141@corp.com,57181,212.85
303,2025-06-30,C7937,open,5.0,113.16,EUR,DE,c79379028@shop.net,90633,528.01
304,2025-09-19,C4825,,1.0,95.34,GBP,GB,,SW1A 1AA,109.68
305,2025-07-22,C8691,closed,10.0,17.3,EUR,DE,,56046,189.16
306,2025-09-06,C4887,closed,13.0,103.27,USD,US,,41426,1555.22
307,2025-08-13,C7654,open,3.0,65.67,EUR,DE,c76546536@shop.net,86442,183.05
308,2025-07-26,C6793,closed,13.0,22.64,USD,US,c67932574@example.com,22132,320.25
309,2025-06-20,C3123,,11.0,67.25,GBP,GB,c31239872@corp.com,SW1A 1AA,721.1
